,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis ketiga,Dosis pertama (%),Dosis kedua (%),Dosis pertama (harian),Dosis kedua (harian),Dosis harian,Dosis pertama (mingguan),Dosis kedua (mingguan),Rata2 dosis harian (mingguan),Dosis pertama (SDM kesehatan),Dosis kedua (SDM kesehatan),Dosis ketiga (SDM kesehatan),Dosis pertama (SDM kesehatan) %,Dosis kedua (SDM kesehatan) %,Dosis pertama (petugas publik),Dosis kedua (petugas publik),Dosis pertama (petugas publik) %,Dosis kedua (petugas publik) %,Dosis pertama (lansia),Dosis kedua (lansia),Dosis pertama (lansia) %,Dosis kedua (lansia) %,Dosis pertama (warga umum),Dosis kedua (warga umum),Dosis pertama (remaja),Dosis kedua (remaja),Dosis pertama (Vakgor),Dosis kedua (Vakgor),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian,CFR
3/22/2020,65,,,579,500,86.36%,1,30,5.18%,37.97%,1,49,8.46%,62.03%,,,,"2,756","2,756","2,177",579,0,,,,318,,,,10,4.76,4.76,4.89,21.01%,19.23%,12.65%,31.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.33%
3/23/2020,106,,,685,600,87.59%,0,30,4.38%,35.29%,6,55,8.03%,64.71%,,,,"3,332","3,332","2,625",685,22,,,,554,,,,12,4.86,4.86,5.23,20.56%,19.13%,18.31%,27.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.33%
3/24/2020,105,,,790,701,88.73%,1,31,3.92%,34.83%,3,58,7.34%,65.17%,,,,"3,822","3,822","3,032",790,0,,,,490,,,,14,4.84,4.84,4.67,20.67%,20.51%,15.33%,26.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.10%
3/25/2020,103,,,893,780,87.35%,4,35,3.92%,30.97%,20,78,8.73%,69.03%,,,,"4,336","4,336","3,443",893,0,,,,514,,,,16,4.86,4.86,4.99,20.60%,20.04%,13.04%,24.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.25%
3/26/2020,153,,,"1,046",913,87.28%,11,46,4.40%,34.59%,9,87,8.32%,65.41%,,,,"5,775","5,775","4,729","1,046",0,,,,"1,439",,,,21,5.52,5.52,9.41,18.11%,10.63%,17.13%,18.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.44%
3/27/2020,109,,,"1,155",994,86.06%,13,59,5.11%,36.65%,15,102,8.83%,63.35%,,,,"6,266","6,266","5,111","1,155",0,,,,491,,,,23,5.43,5.43,4.5,18.43%,22.20%,10.42%,18.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.20%
3/28/2020,130,,,"1,285",1107,86.15%,5,64,4.98%,35.96%,12,114,8.87%,64.04%,,,,"6,534","6,534","5,249","1,285",0,,,,268,,,,24,5.08,5.08,2.06,19.67%,48.51%,11.26%,18.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.64%
3/29/2020,129,,,"1,414",1217,86.07%,11,75,5.30%,38.07%,8,122,8.63%,61.93%,,,,"6,663","6,663","5,249","1,414",0,,,,129,,,,25,4.71,4.71,1,21.22%,100.00%,10.04%,21.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.63%
3/30/2020,114,,,"1,528",1311,85.80%,6,81,5.30%,37.33%,14,136,8.90%,62.67%,,,,"6,777","6,777","5,249","1,528",0,,,,114,,,,25,4.44,4.44,1,22.55%,100.00%,8.06%,24.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.17%
3/31/2020,149,,,"1,677",1417,84.50%,22,103,6.14%,39.62%,21,157,9.36%,60.38%,,,,"7,193","7,193","5,516","1,677",0,,,,416,,,,27,4.29,4.29,2.79,23.31%,35.82%,9.75%,26.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.00%
