,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis ketiga,Dosis pertama (%),Dosis kedua (%),Dosis pertama (harian),Dosis kedua (harian),Dosis harian,Dosis pertama (mingguan),Dosis kedua (mingguan),Rata2 dosis harian (mingguan),Dosis pertama (SDM kesehatan),Dosis kedua (SDM kesehatan),Dosis ketiga (SDM kesehatan),Dosis pertama (SDM kesehatan) %,Dosis kedua (SDM kesehatan) %,Dosis pertama (petugas publik),Dosis kedua (petugas publik),Dosis pertama (petugas publik) %,Dosis kedua (petugas publik) %,Dosis pertama (lansia),Dosis kedua (lansia),Dosis pertama (lansia) %,Dosis kedua (lansia) %,Dosis pertama (warga umum),Dosis kedua (warga umum),Dosis pertama (remaja),Dosis kedua (remaja),Dosis pertama (Vakgor),Dosis kedua (Vakgor),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian,CFR
4/15/2021,"5,363",,,"1,594,722",107297,6.73%,"5,975","1,444,229",90.56%,97.10%,123,"43,196",2.71%,2.90%,,,"58,999","13,711,972","9,203,770","7,609,048",,,"73,406","46,636","26,770","50,198","27,122","23,076",,"34,088",8.6,5.77,9.36,17.33%,10.68%,0.34%,12.08%,"64,600","43,259",1.49,,"10,709,628","5,821,888",,3.97%,2.16%,"109,159","106,075","215,234","128,594","124,238","252,832","1,464,225","1,323,006",,99.69%,90.08%,"7,066,375","3,600,857",40.78%,20.78%,"2,178,229","898,025",10.11%,4.17%,,,,,,,,,,,,,,,,,,,
4/16/2021,"5,041",,,"1,599,763",106243,6.64%,"5,963","1,450,192",90.65%,97.10%,132,"43,328",2.71%,2.90%,,,"60,699","13,776,810","9,248,725","7,648,962",,,"64,838","41,273","23,565","44,955","24,581","20,374",,"34,255",8.61,5.78,8.92,17.30%,11.21%,0.32%,12.13%,"64,706","43,437",1.49,,"10,801,563","5,890,790",,4.00%,2.18%,"91,935","68,902","160,837","114,095","115,963","230,058","1,465,021","1,323,987",,99.75%,90.14%,"7,139,477","3,636,800",41.20%,20.99%,"2,199,326","930,003",10.20%,4.31%,,,,,,,,,,,,,,,,,,,
4/17/2021,"4,585",,,"1,604,348",105859,6.60%,"4,873","1,455,065",90.70%,97.10%,96,"43,424",2.71%,2.90%,,,"61,694","13,815,429","9,280,005","7,675,657",,,"38,619","25,512","13,107","31,280","19,953","11,327",,"34,370",8.61,5.78,6.82,17.29%,14.66%,0.29%,12.27%,"64,208","43,489",1.48,,"10,828,733","5,911,343",,4.01%,2.19%,"27,170","20,553","47,723","111,313","115,632","226,945","1,465,210","1,324,382",,99.76%,90.17%,"7,159,290","3,649,998",41.32%,21.07%,"2,203,494","936,963",10.22%,4.35%,,,,,,,,,,,,,,,,,,,
4/18/2021,"4,952",,,"1,609,300",104319,6.48%,"6,349","1,461,414",90.81%,97.11%,143,"43,567",2.71%,2.89%,,,"63,736","13,870,157","9,317,272","7,707,972",,,"54,728","35,052","19,676","37,267","20,422","16,845",,"34,508",8.62,5.79,7.53,17.27%,13.29%,0.31%,12.20%,"65,408","43,894",1.49,,"10,972,343","6,052,612",,4.06%,2.24%,"143,610","141,269","284,879","98,896","104,302","203,197","1,466,675","1,325,963",,99.86%,90.28%,"7,267,647","3,724,381",41.94%,21.49%,"2,237,282","1,002,268",10.38%,4.65%,,,,,,,,,,,,,,,,,,,
4/19/2021,"5,549",,,"1,614,849",102930,6.37%,"6,728","1,468,142",90.92%,97.10%,210,"43,777",2.71%,2.90%,,,"63,581","13,939,364","9,365,379","7,750,530",,,"69,207","40,470","28,737","48,107","23,619","24,488",,"34,687",8.63,5.8,8.67,17.24%,11.53%,0.34%,12.25%,"64,220","43,532",1.48,,"11,116,253","6,158,748",,4.12%,2.28%,"143,910","106,136","250,046","105,503","103,576","209,079","1,467,860","1,327,443",,99.94%,90.38%,"7,383,064","3,790,548",42.61%,21.88%,"2,264,590","1,040,757",10.51%,4.83%,,,,,,,,,,,,,,,,,,,
4/20/2021,"5,720",,,"1,620,569",101106,6.24%,"7,314","1,475,456",91.05%,97.10%,230,"44,007",2.72%,2.90%,,,"62,411","14,011,925","9,412,427","7,791,858",,,"72,561","45,591","26,970","47,048","24,188","22,860",,"34,861",8.65,5.81,8.23,17.22%,12.16%,0.35%,12.16%,"63,992","43,940",1.46,,"11,302,294","6,341,931",,4.19%,2.35%,"186,041","183,183","369,224","117,198","109,867","227,066","1,480,525","1,338,926",,100.80%,91.16%,"7,522,899","3,891,666",43.42%,22.46%,"2,298,131","1,111,339",10.66%,5.16%,,,,,,,,,,,,,,,,,,,
4/21/2021,"6,243",,,"1,626,812",101191,6.22%,"5,993","1,481,449",91.06%,97.10%,165,"44,172",2.72%,2.90%,,,"63,422","14,090,518","9,468,108","7,841,296",,,"78,593","46,879","31,714","55,681","29,137","26,544",,"35,067",8.66,5.82,8.92,17.18%,11.21%,0.39%,11.91%,"64,565","44,934",1.44,,"11,432,711","6,488,197",,4.23%,2.40%,"130,417","146,266","276,683","118,892","110,341","229,232","1,482,357","1,341,072",,100.93%,91.31%,"7,649,976","4,007,952",44.15%,23.13%,"2,329,701","1,171,605",10.81%,5.44%,,,,,,,,,,,,,,,,,,,
4/22/2021,"5,436",,,"1,632,248",100533,6.16%,"5,920","1,487,369",91.12%,97.10%,174,"44,346",2.72%,2.90%,,,"65,421","14,154,141","9,509,667","7,877,419",,,"63,623","44,717","18,906","41,559","25,552","16,007",,"35,221",8.67,5.83,7.65,17.16%,13.08%,0.33%,12.27%,"63,167","43,700",1.45,,"11,623,251","6,699,327",,4.30%,2.48%,"190,540","211,130","401,670","130,518","125,348","255,866","1,484,188","1,343,218",,101.05%,91.45%,"7,777,053","4,124,238",44.88%,23.80%,"2,361,270","1,231,871",10.96%,5.72%,,,,,,,,,,,,,,,,,,,
4/23/2021,"4,544",,,"1,636,792",99970,6.11%,"4,953","1,492,322",91.17%,97.10%,154,"44,500",2.72%,2.90%,,,"66,377","14,221,892","9,551,930","7,915,138",,,"67,751","41,484","26,267","42,263","19,992","22,271",,"35,378",8.69,5.84,9.3,17.14%,10.75%,0.28%,12.21%,"63,583","43,315",1.47,,"11,718,546","6,798,241",,4.34%,2.52%,"95,295","98,914","194,209","130,998","129,636","260,633","1,484,971","1,344,232",,101.10%,91.52%,"7,848,268","4,190,969",45.29%,24.19%,"2,384,567","1,263,040",11.06%,5.86%,,,,,,,,,,,,,,,,,,,
4/24/2021,"4,402",,,"1,641,194",100474,6.12%,"3,804","1,496,126",91.16%,97.11%,94,"44,594",2.72%,2.89%,,,"67,312","14,264,611","9,584,455","7,943,261",,,"42,719","27,046","15,673","32,525","19,098","13,427",,"35,498",8.69,5.84,7.39,17.12%,13.53%,0.27%,12.10%,"64,169","43,493",1.48,,"11,741,559","6,829,415",,4.35%,2.53%,"23,013","31,174","54,187","130,404","131,153","261,557","1,485,102","1,344,441",,101.11%,91.54%,"7,869,046","4,215,417",45.41%,24.33%,"2,386,671","1,269,557",11.07%,5.89%,,,,,,,,,,,,,,,,,,,
4/25/2021,"5,944",,,"1,647,138",100652,6.11%,"5,589","1,501,715",91.17%,97.10%,177,"44,771",2.72%,2.90%,,,"68,297","14,316,489","9,621,322","7,974,184",,,"51,878","30,464","21,414","36,867","18,585","18,282",,"35,635",8.69,5.84,6.2,17.12%,16.12%,0.36%,12.44%,"63,762","43,436",1.47,,"11,872,598","7,023,351",,4.40%,2.60%,"131,039","193,936","324,975","128,608","138,677","267,285","1,486,574","1,346,352",,101.21%,91.67%,"7,967,909","4,344,278",45.99%,25.07%,"2,417,375","1,332,721",11.22%,6.18%,,,,,,,,,,,,,,,,,,,
4/26/2021,"4,656",,,"1,651,794",100256,6.07%,"4,884","1,506,599",91.21%,97.10%,168,"44,939",2.72%,2.90%,,,"65,911","14,393,110","9,673,217","8,021,423",,,"76,621","44,443","32,178","51,895","24,745","27,150",,"35,827",8.71,5.86,11.15,17.08%,8.97%,0.28%,12.00%,"64,821","43,977",1.47,,"12,015,912","7,214,534",,4.45%,2.67%,"143,314","191,183","334,497","128,523","150,827","279,349","1,488,135","1,348,327",,101.32%,91.80%,"8,076,455","4,475,281",46.61%,25.83%,"2,450,582","1,390,926",11.37%,6.45%,,,,,,,,,,,,,,,,,,,
4/27/2021,"5,241",,,"1,657,035",100502,6.07%,"4,818","1,511,417",91.21%,97.10%,177,"45,116",2.72%,2.90%,,,"66,005","14,466,393","9,714,274","8,057,239",,,"73,283","45,360","27,923","41,057","17,935","23,122",,"35,979",8.73,5.86,7.83,17.06%,12.77%,0.32%,12.08%,"64,924","43,121",1.51,,"12,150,377","7,411,095",,4.50%,2.74%,"134,465","196,561","331,026","121,155","152,738","273,892","1,489,628","1,350,703",,101.42%,91.96%,"8,175,635","4,608,443",47.18%,26.60%,"2,484,734","1,451,949",11.53%,6.74%,,,,,,,,,,,,,,,,,,,
4/28/2021,"5,833",,,"1,662,868",100102,6.02%,"6,015","1,517,432",91.25%,97.10%,218,"45,334",2.73%,2.90%,,,"66,295","14,542,213","9,769,757","8,106,889",,,"75,820","47,043","28,777","55,483","31,247","24,236",,"36,184",8.75,5.88,9.51,17.02%,10.51%,0.35%,11.95%,"64,528","43,093",1.5,,"12,306,755","7,583,443",,4.56%,2.81%,"156,378","172,348","328,726","124,863","156,464","281,327","1,491,053","1,352,846",,101.52%,92.11%,"8,294,475","4,730,728",47.87%,27.30%,"2,520,487","1,499,869",11.69%,6.96%,,,,,,,,,,,,,,,,,,,
4/29/2021,"5,500",,,"1,668,368",100213,6.01%,"5,202","1,522,634",91.26%,97.10%,187,"45,521",2.73%,2.90%,,,"67,208","14,619,439","9,821,421","8,153,053",,,"77,226","48,373","28,853","51,664","27,185","24,479",,"36,376",8.76,5.89,9.39,16.99%,10.65%,0.33%,11.59%,"66,471","44,536",1.49,,"12,422,253","7,646,284",,4.60%,2.83%,"115,498","62,841","178,339","114,143","135,280","249,423","1,492,208","1,353,880",,101.60%,92.18%,"8,383,743","4,781,158",48.38%,27.59%,"2,545,562","1,511,246",11.81%,7.01%,,,,,,,,,,,,,,,,,,,
4/30/2021,"4,512",,,"1,672,880",100250,5.99%,"4,344","1,526,978",91.28%,97.10%,131,"45,652",2.73%,2.90%,,,"69,943","14,682,656","9,863,143","8,190,263",,,"63,217","43,594","19,623","41,722","25,037","16,685",,"36,530",8.78,5.9,9.25,16.96%,10.81%,0.27%,11.60%,"65,823","44,459",1.48,,"12,457,164","7,678,485",,4.61%,2.84%,"34,911","32,201","67,112","105,517","125,749","231,266","1,492,380","1,354,040",,101.61%,92.19%,"8,415,096","4,808,166",48.57%,27.75%,"2,548,948","1,516,279",11.83%,7.04%,,,,,,,,,,,,,,,,,,,
5/1/2021,"4,394",,,"1,677,274",100760,6.01%,"3,740","1,530,718",91.26%,97.10%,144,"45,796",2.73%,2.90%,,,"73,065","14,722,614","9,895,532","8,218,258",,,"39,958","27,283","12,675","32,389","21,402","10,987",,"36,650",8.78,5.9,7.37,16.95%,13.57%,0.26%,11.60%,"65,429","44,440",1.47,,"12,469,406","7,703,110",,4.62%,2.85%,"12,242","24,625","36,867","103,978","124,814","228,792","1,492,468","1,354,159",,101.61%,92.20%,"8,426,025","4,829,246",48.63%,27.87%,"2,550,173","1,519,705",11.83%,7.05%,,,,,,,,,,,,,,,,,,,
5/2/2021,"4,730",,,"1,682,004",100564,5.98%,"4,773","1,535,491",91.29%,97.09%,153,"45,949",2.73%,2.91%,,,"75,355","14,770,813","9,931,245","8,249,241",,,"48,199","28,611","19,588","35,713","19,187","16,526",,"36,782",8.78,5.9,7.55,16.94%,13.24%,0.28%,11.25%,"64,903","44,275",1.47,,"12,572,111","7,850,407",,4.66%,2.91%,"102,705","147,297","250,002","99,930","118,151","218,081","1,493,588","1,355,942",,101.69%,92.32%,"8,503,507","4,935,457",49.08%,28.48%,"2,574,276","1,559,008",11.94%,7.23%,,,,,,,,,,,,,,,,,,,
5/3/2021,"4,369",,,"1,686,373",99087,5.88%,"5,658","1,541,149",91.39%,97.09%,188,"46,137",2.74%,2.91%,,,"77,804","14,846,698","9,982,781","8,296,408",,,"75,885","45,888","29,997","51,536","26,790","24,746",,"36,973",8.8,5.92,11.8,16.89%,8.48%,0.26%,11.17%,"64,798","44,223",1.47,,"12,699,568","8,002,236",,4.70%,2.96%,"127,457","151,829","279,286","97,665","112,529","210,194","1,494,938","1,357,804",,101.78%,92.45%,"8,603,702","5,051,854",49.65%,29.16%,"2,600,188","1,592,578",12.06%,7.39%,,,,,,,,,,,,,,,,,,,
5/4/2021,"5,285",,,"1,691,658",98217,5.81%,"5,943","1,547,092",91.45%,97.09%,212,"46,349",2.74%,2.91%,,,"76,660","14,926,016","10,033,957","8,342,299",,,"79,318","48,729","30,589","51,176","25,349","25,827",,"37,163",8.82,5.93,9.68,16.86%,10.33%,0.31%,10.83%,"65,660","45,669",1.44,,"12,851,885","8,166,067",,4.76%,3.02%,"152,317","163,831","316,148","100,215","107,853","208,069","1,496,358","1,359,726",,101.88%,92.58%,"8,723,790","5,173,811",50.35%,29.86%,"2,630,996","1,632,325",12.21%,7.57%,,,,,,,,,,,,,,,,,,,
5/5/2021,"5,647",,,"1,697,305",98277,5.79%,"5,440","1,552,532",91.47%,97.09%,147,"46,496",2.74%,2.91%,,,"79,957","15,002,289","10,084,079","8,386,774",,,"76,273","46,540","29,733","50,122","25,599","24,523",,"37,348",8.84,5.94,8.88,16.83%,11.27%,0.33%,10.96%,"65,725","44,903",1.46,,"13,028,699","8,339,055",,4.83%,3.09%,"176,814","172,988","349,802","103,135","107,945","211,079","1,497,644","1,361,567",,101.97%,92.70%,"8,865,706","5,302,459",51.17%,30.60%,"2,664,608","1,674,461",12.36%,7.77%,,,,,,,,,,,,,,,,,,,
5/6/2021,"6,327",,,"1,703,632",98546,5.78%,"5,891","1,558,423",91.48%,97.09%,167,"46,663",2.74%,2.91%,,,"82,602","15,078,279","10,130,714","8,427,082",,,"75,990","50,207","25,783","46,635","25,145","21,490",,"37,521",8.85,5.95,7.37,16.82%,13.57%,0.37%,11.40%,"65,549","44,185",1.48,,"13,180,814","8,486,054",,4.88%,3.14%,"152,115","146,999","299,114","108,366","119,967","228,333","1,498,947","1,363,159",,102.05%,92.81%,"8,989,745","5,413,948",51.88%,31.25%,"2,691,305","1,708,253",12.49%,7.93%,,,,,,,,,,,,,,,,,,,
5/7/2021,"6,130",,,"1,709,762",99003,5.79%,"5,494","1,563,917",91.47%,97.09%,179,"46,842",2.74%,2.91%,,,"86,552","15,152,826","10,175,419","8,465,657",,,"74,547",,,"44,705","23,246","21,459",,"37,687",8.86,5.95,7.29,16.80%,13.71%,0.36%,11.81%,"67,167","44,611",1.51,,"13,321,503","8,612,158",,4.93%,3.19%,"140,689","126,104","266,793","123,477","133,382","256,859","1,499,656","1,364,428",,102.10%,92.90%,"9,096,369","5,504,931",52.50%,31.77%,"2,724,661","1,742,105",12.64%,8.08%,,,,,,,,,,,,,,,,,,,
5/8/2021,"3,922",,,"1,713,684",98395,5.74%,"4,360","1,568,277",91.51%,97.09%,170,"47,012",2.74%,2.91%,,,"87,892","15,201,727","10,205,668","8,491,984",,,"48,901","32,981","15,920","30,249","16,986","13,263",,"37,799",8.87,5.96,7.71,16.79%,12.97%,0.23%,11.74%,"68,445","44,305",1.54,,"13,349,469","8,643,830",,4.94%,3.20%,"27,966","31,672","59,638","125,723","134,389","260,112","1,499,726","1,364,582",,102.11%,92.91%,"9,121,975","5,530,248",52.65%,31.92%,"2,726,951","1,748,306",12.65%,8.11%,,,,,,,,,,,,,,,,,,,
5/9/2021,"4,891",,,"1,718,575",96742,5.63%,"6,338","1,574,615",91.62%,97.09%,206,"47,218",2.75%,2.91%,,,"89,231","15,251,210","10,237,631","8,519,056",,,"49,483","34,046","15,437","31,963","18,901","13,062",,"37,917",8.87,5.96,6.54,16.79%,15.30%,0.29%,11.94%,"68,628","43,769",1.57,,"13,513,606","8,804,961",,5.01%,3.26%,"164,137","161,131","325,268","134,499","136,365","270,864","1,501,027","1,366,419",,102.20%,93.03%,"9,251,201","5,643,009",53.39%,32.57%,"2,760,561","1,794,839",12.81%,8.33%,,,,,,,,,,,,,,,,,,,
5/10/2021,"5,021",,,"1,723,596",95924,5.57%,"5,592","1,580,207",91.68%,97.08%,247,"47,465",2.75%,2.92%,,,"87,743","15,326,626","10,282,721","8,559,125",,,"75,416","47,560","27,856","45,090","21,974","23,116",,"38,084",8.89,5.97,8.98,16.76%,11.14%,0.29%,12.41%,"68,561","42,849",1.6,,"13,647,777","8,888,529",,5.05%,3.29%,"134,171","83,568","217,739","135,458","126,613","262,072","1,501,809","1,367,719",,102.25%,93.12%,"9,361,491","5,708,101",54.03%,32.94%,"2,783,660","1,812,015",12.92%,8.41%,,,,,,,,,,,,,,,,,,,
5/11/2021,"4,608",,,"1,728,204",95709,5.54%,"4,671","1,584,878",91.71%,97.08%,152,"47,617",2.76%,2.92%,,,"87,034","15,389,884","10,321,361","8,593,157",,,"63,258","41,184","22,074","38,640","20,022","18,618",,"38,227",8.91,5.97,8.39,16.74%,11.93%,0.27%,12.72%,"66,267","41,058",1.61,,"13,691,877","8,918,784",,5.07%,3.30%,"44,100","30,255","74,355","119,999","107,531","227,530","1,502,009","1,368,070",,102.26%,93.14%,"9,401,248","5,732,660",54.26%,33.08%,"2,787,803","1,817,360",12.93%,8.43%,,,,,,,,,,,,,,,,,,,
5/12/2021,"3,448",,,"1,731,652",94857,5.48%,"4,201","1,589,079",91.77%,97.08%,99,"47,716",2.76%,2.92%,,,"87,578","15,421,434","10,343,074","8,611,422",,,"31,550","22,395","9,155","21,713","13,807","7,906",,"38,308",8.91,5.97,6.3,16.74%,15.88%,0.20%,13.26%,"59,878","36,999",1.62,,"13,697,256","8,919,949",,5.07%,3.30%,"5,379","1,165","6,544","95,508","82,985","178,493","1,502,025","1,368,079",,102.26%,93.14%,"9,406,282","5,733,632",54.29%,33.09%,"2,788,132","1,817,544",12.94%,8.43%,,,,,,,,,,,,,,,,,,,
5/13/2021,"2,633",,,"1,734,285",93576,5.40%,"3,807","1,592,886",91.85%,97.09%,107,"47,823",2.76%,2.91%,,,"86,842","15,439,974","10,359,019","8,624,734",,,"18,540","12,141","6,399","15,945","10,400","5,545",,"38,367",8.9,5.97,6.06,16.74%,16.51%,0.15%,13.43%,"51,671","32,615",1.58,,"13,700,389","8,921,978",,5.07%,3.30%,"3,133","2,029","5,162","74,225","62,275","136,500","1,502,037","1,368,098",,102.27%,93.15%,"9,409,090","5,735,275",54.30%,33.10%,"2,788,445","1,817,911",12.94%,8.43%,,,,,,,,,,,,,,,,,,,
5/14/2021,"2,385",,,"1,736,670",91636,5.28%,"4,181","1,597,067",91.96%,97.08%,144,"47,967",2.76%,2.92%,,,"84,326","15,469,561","10,381,538","8,644,868",,,"29,587","16,517","13,070","22,519","11,246","11,273",,"38,450",8.91,5.98,9.44,16.73%,10.59%,0.14%,13.05%,"45,248","29,446",1.54,,"13,725,144","8,960,076",,5.08%,3.32%,"24,755","38,098","62,853","57,663","49,703","107,366","1,502,212","1,368,299",,102.28%,93.16%,"9,430,549","5,761,421",54.43%,33.25%,"2,791,566","1,829,662",12.95%,8.49%,,,,,,,,,,,,,,,,,,,
5/15/2021,"3,080",,,"1,739,750",90800,5.22%,"3,790","1,600,857",92.02%,97.08%,126,"48,093",2.76%,2.92%,,,"81,809","15,507,034","10,409,178","8,669,428",,,"37,473",,,"27,640","14,586","13,054",,"38,553",8.91,5.98,8.97,16.71%,11.14%,0.18%,12.81%,"43,615","29,073",1.5,,"13,745,160","8,975,937",,5.09%,3.32%,"20,016","15,861","35,877","56,527","47,444","103,971","1,502,228","1,368,337",,102.28%,93.16%,"9,449,637","5,774,108",54.54%,33.32%,"2,792,478","1,832,798",12.96%,8.50%,,,,,,,,,,,,,,,,,,,
5/16/2021,"4,295",,,"1,744,045",89129,5.11%,"5,754","1,606,611",92.12%,97.08%,212,"48,305",2.77%,2.92%,,,"89,219","15,552,687","10,446,166","8,702,121",,,"45,653","24,905","20,748","36,988","19,593","17,395",,"38,690",8.92,5.99,8.61,16.70%,11.61%,0.25%,12.21%,"43,068","29,791",1.45,,"13,828,102","9,093,965",,5.12%,3.37%,"82,942","118,028","200,970","44,928","41,286","86,214","1,503,025","1,369,938",,102.33%,93.27%,"9,517,264","5,859,097",54.93%,33.81%,"2,806,995","1,864,236",13.02%,8.65%,,,,,,,,,,,,,,,,,,,
5/17/2021,"4,185",,,"1,748,230",87514,5.01%,"5,628","1,612,239",92.22%,97.08%,172,"48,477",2.77%,2.92%,,,"76,827","15,632,435","10,489,670","8,741,440",,,"79,748","45,416","34,332","43,504","15,179","28,325",,"38,851",8.94,6,10.4,16.67%,9.62%,0.24%,11.90%,"43,687","29,564",1.48,,"13,985,952","9,276,187",,5.18%,3.44%,"157,850","182,222","340,072","48,311","55,380","103,690","1,504,324","1,372,017",,102.42%,93.41%,"9,639,092","5,997,003",55.63%,34.61%,"2,841,581","1,906,473",13.18%,8.85%,,,,,,,,,,,,,,,,,,,
5/18/2021,"4,871",,,"1,753,101",87829,5.01%,"4,364","1,616,603",92.21%,97.08%,192,"48,669",2.78%,2.92%,,,"73,807","15,717,414","10,542,828","8,789,727",,,"84,979","46,744","38,235","53,158","21,539","31,619",,"39,048",8.97,6.01,10.91,16.63%,9.16%,0.28%,11.24%,"46,790","31,638",1.48,,"14,197,224","9,428,223",,5.26%,3.49%,"211,272","152,036","363,308","72,192","72,777","144,969","1,505,817","1,373,813",,102.52%,93.54%,"9,800,124","6,109,914",56.56%,35.26%,"2,888,392","1,943,802",13.40%,9.02%,,,,,,,,,,,,,,,,,,,
5/19/2021,"5,797",,,"1,758,898",88439,5.03%,"4,969","1,621,572",92.19%,97.07%,218,"48,887",2.78%,2.93%,,,"75,168","15,812,849","10,598,659","8,839,761",,,"95,435","55,641","39,794","55,831","22,370","33,461",,"39,254",8.99,6.03,9.63,16.60%,10.38%,0.33%,10.66%,"55,916","36,512",1.53,,"14,452,878","9,580,546",,5.35%,3.55%,"255,654","152,323","407,977","107,946","94,371","202,317","1,507,098","1,375,400",,102.61%,93.64%,"9,996,350","6,224,200",57.69%,35.92%,"2,944,133","1,980,252",13.66%,9.19%,,,,,,,,,,,,,,,,,,,
5/20/2021,"5,746",,,"1,764,644",89429,5.07%,"4,570","1,626,142",92.15%,97.07%,186,"49,073",2.78%,2.93%,,,"77,431","15,904,901","10,670,344","8,905,700",,,"92,052","56,598","35,454","71,685","41,578","30,107",,"39,520",9.01,6.05,12.48,16.54%,8.02%,0.33%,9.75%,"66,418","44,475",1.49,,"14,685,236","9,746,522",,5.44%,3.61%,"232,358","165,976","398,334","140,692","117,792","258,484","1,508,652","1,377,170",,102.72%,93.76%,"10,179,623","6,361,674",58.75%,36.72%,"2,987,906","2,006,984",13.86%,9.31%,,,,,,,,,,,,,,,,,,,
5/21/2021,"5,296",,,"1,769,940",91240,5.15%,"3,353","1,629,495",92.06%,97.07%,132,"49,205",2.78%,2.93%,,,"77,996","15,986,717","10,712,109","8,942,169",,,"81,816","47,721","34,095","41,765","22,636","19,129",,"39,674",9.03,6.05,7.89,16.52%,12.68%,0.30%,10.06%,"73,879","47,224",1.56,,"14,869,827","9,853,451",,5.51%,3.65%,"184,591","106,929","291,520","163,526","127,625","291,151","1,509,523","1,378,053",,102.78%,93.82%,"10,317,952","6,445,395",59.55%,37.20%,"3,030,396","2,029,296",14.06%,9.42%,,,,,,,,,,,,,,,,,,,
5/22/2021,"5,280",,,"1,775,220",92847,5.23%,"3,550","1,633,045",91.99%,97.07%,123,"49,328",2.78%,2.93%,,,"82,305","16,059,675","10,765,788","8,990,568",,,"72,958","37,476","35,482","53,679","24,095","29,584",,"39,873",9.05,6.06,10.17,16.49%,9.84%,0.30%,9.95%,"78,949","50,944",1.55,,"14,909,734","9,881,024",,5.52%,3.66%,"39,907","27,573","67,480","166,368","129,298","295,666","1,509,602","1,378,175",,102.78%,93.83%,"10,350,996","6,470,711",59.74%,37.34%,"3,035,376","2,031,431",14.08%,9.43%,,,,,,,,,,,,,,,,,,,
5/23/2021,"5,907",,,"1,781,127",93393,5.24%,"5,234","1,638,279",91.98%,97.07%,127,"49,455",2.78%,2.93%,,,"90,465","16,125,144","10,820,194","9,039,067",,,"65,469","34,132","31,337","54,406","28,574","25,832",,"40,075",9.05,6.07,9.21,16.46%,10.86%,0.33%,9.91%,"81,780","53,433",1.53,,"14,919,592","9,906,629",,5.53%,3.67%,"9,858","25,605","35,463","155,927","116,095","272,022","1,509,688","1,378,328",,102.79%,93.84%,"10,358,645","6,490,766",59.78%,37.46%,"3,037,155","2,036,828",14.09%,9.45%,,,,,,,,,,,,,,,,,,,
5/24/2021,"5,060",,,"1,786,187",94486,5.29%,"3,795","1,642,074",91.93%,97.07%,172,"49,627",2.78%,2.93%,,,"92,350","16,209,568","10,882,055","9,095,868",,,"84,424","48,738","35,686","61,861","31,353","30,508",,"40,304",9.07,6.09,12.23,16.41%,8.18%,0.28%,9.67%,"82,448","56,055",1.47,,"15,330,306","10,125,480",,5.68%,3.75%,"410,714","218,851","629,565","192,051","121,328","313,378","1,511,907","1,380,437",,102.94%,93.99%,"10,683,409","6,660,547",61.66%,38.44%,"3,116,601","2,083,789",14.46%,9.67%,,,,,,,,,,,,,,,,,,,
5/25/2021,"5,034",,,"1,791,221",96187,5.37%,"3,189","1,645,263",91.85%,97.06%,144,"49,771",2.78%,2.94%,,,"95,042","16,291,888","10,938,373","9,147,152",,,"82,320","49,814","32,506","56,318","28,517","27,801",,"40,512",9.1,6.11,11.19,16.38%,8.94%,0.28%,9.64%,"82,068","56,506",1.45,,"15,546,158","10,236,019",,5.76%,3.79%,"215,852","110,539","326,391","192,705","115,399","308,104","1,513,180","1,381,582",,103.02%,94.06%,"10,856,588","6,754,218",62.66%,38.98%,"3,154,384","2,099,512",14.64%,9.74%,,,,,,,,,,,,,,,,,,,
5/26/2021,"6,278",,,"1,797,499",98405,5.47%,"3,924","1,649,187",91.75%,97.06%,136,"49,907",2.78%,2.94%,,,"97,733","16,372,837","11,000,759","9,203,260",,,"80,949","39,585","41,364","62,386","26,740","35,646",,"40,744",9.11,6.12,9.94,16.34%,10.06%,0.35%,9.60%,"79,998","57,443",1.39,,"15,851,702","10,428,151",,5.87%,3.86%,"305,544","192,132","497,676","199,832","121,086","320,918","1,514,296","1,383,548",,103.10%,94.20%,"11,096,646","6,899,324",64.04%,39.82%,"3,218,838","2,144,572",14.93%,9.95%,,,,,,,,,,,,,,,,,,,
